Day,Home,Away,Conference_Game
1,Georgia Tech,Miami FL,1
1,William & Mary,Delaware,1
1,Davidson,Fordham,1
1,North Carolina,Pittsburgh,1
1,Creighton,DePaul,1
1,Incarnate Word,McNeese St.,1
1,Auburn,Kentucky,1
1,Illinois,Rutgers,1
1,Wisconsin,Maryland,1
1,Ohio,UNLV,0
1,UCLA,Ohio St.,1
1,Austin Peay,Eastern Kentucky,1
1,UC San Diego,Georgia St.,0
1,Prairie View A&M,Bethune Cookman,1
1,Quinnipiac,Clemson,0
1,Charleston,North Carolina A&T,1
1,Wichita St.,South Dakota,0
1,Sacramento St.,Weber St.,1
1,Iowa St.,Oklahoma St.,1
1,Murray St.,Belmont,1
1,Evansville,Indiana St.,1
1,Wake Forest,Florida St.,1
1,Elon,Louisiana,0
1,Wagner,Western Michigan,0
1,Albany,UMass Lowell,1
1,Loyola Chicago,George Mason,1
1,Virginia Tech,Coastal Carolina,0
1,Marist,Rider,1
1,Villanova,Connecticut,1
1,Memphis,Temple,1
1,Vanderbilt,Florida,1
1,Michigan St.,Minnesota,1
1,Portland St.,UTEP,0
1,Duke,N.C. State,1
1,Mississippi St.,Saint Francis,0
1,IU Indy,Tarleton St.,0
1,Saint Louis,Bellarmine,0
1,Northern Arizona,Washington St.,0
1,Harvard,UT Arlington,0
1,SIU Edwardsville,Tennessee Martin,1
1,Cal St. Fullerton,Iona,0
1,Georgia Southern,Buffalo,0
1,High Point,UNC Asheville,1
1,St. John's,Xavier,1
1,Tulsa,North Texas,1
2,New Mexico St.,Jacksonville St.,1
2,Eastern Kentucky,Arkansas St.,0
2,Creighton,Marshall,0
2,Iowa,Penn St.,1
2,Appalachian St.,South Alabama,1
2,Kentucky,Alabama,1
2,Delaware,UNC Wilmington,1
2,Virginia,Georgia Tech,1
2,West Virginia,UCF,1
2,Texas St.,Fresno St.,0
2,Incarnate Word,UT Rio Grande Valley,1
2,Wichita St.,Charlotte,1
2,Villanova,St. John's,1
2,Canisius,Nebraska,0
2,Florida St.,Rider,0
2,Monmouth,Detroit Mercy,0
2,Jacksonville,Missouri,0
2,Yale,Oakland,0
2,Butler,Georgetown,1
2,James Madison,Louisiana Monroe,1
2,Arizona St.,Kansas St.,1
2,UC Santa Barbara,Minnesota,0
2,Kansas,Oklahoma St.,1
2,Southern Illinois,Missouri St.,1
2,Eastern Michigan,Western Michigan,1
2,Bucknell,Central Michigan,0
2,Miami FL,Valparaiso,0
2,Wyoming,Utah St.,1
2,UCLA,Saint Mary's,0
2,Campbell,Pittsburgh,0
2,Providence,Rutgers,0
2,Louisville,Syracuse,1
2,Air Force,Oral Roberts,0
2,UMass Lowell,Bryant,1
2,Northwestern St.,New Orleans,1
2,Northwestern,George Mason,0
2,Tulsa,UAB,1
2,Grambling St.,Jackson St.,1
2,Houston,Utah,1
2,Elon,Northern Iowa,0
2,Hawaii,Green Bay,0
2,Baylor,Columbia,0
2,Wagner,Lehigh,0
2,Northeastern,Auburn,0
2,Weber St.,Fairfield,0
2,Idaho,VMI,0
2,Liberty,Youngstown St.,0
2,Tennessee,Oklahoma,1
3,Maine,Binghamton,1
3,Miami FL,California,1
3,Mercyhurst,Le Moyne,1
3,VCU,Fordham,1
3,Michigan,USC,1
3,Brown,Arizona St.,0
3,St. John's,Utah,0
3,Syracuse,Notre Dame,1
3,Buffalo,Kansas St.,0
3,Canisius,Sacred Heart,1
3,Minnesota,Iowa,1
3,UC Irvine,Cal Poly,1
3,Portland St.,Eastern Washington,1
3,San Diego St.,Colorado St.,1
3,Troy,Indiana St.,0
3,Santa Clara,Oregon St.,1
3,Charleston,Northwestern,0
3,Colorado,South Florida,0
3,Stony Brook,Army,0
3,Cornell,Princeton,1
3,North Carolina Central,Morgan St.,1
3,FIU,UMass Lowell,0
3,UNC Wilmington,Delaware,1
3,Toledo,Ohio,1
3,BYU,Texas Tech,1
3,SIU Edwardsville,Indiana,0
3,USC Upstate,Southeastern Louisiana,0
3,UT Arlington,Cal Baptist,1
3,Nebraska Omaha,Chattanooga,0
3,South Alabama,Georgia St.,1
3,Nebraska,Lamar,0
3,Denver,North Dakota,1
3,N.C. State,Virginia,1
3,New Orleans,South Carolina,0
3,Texas Southern,Grambling St.,1
3,DePaul,Longwood,0
3,Missouri,Arkansas,1
3,Southeast Missouri St.,Eastern Illinois,1
3,UTSA,Tulsa,1
3,Marquette,Davidson,0
3,Texas St.,Jacksonville,0
3,Murray St.,UAB,0
3,Boston University,Colgate,1
3,Sacramento St.,Grand Canyon,0
3,Illinois St.,Southern Illinois,1
3,Houston Christian,East Carolina,0
3,Liberty,UCLA,0
3,Air Force,Utah St.,1
3,Kentucky,Georgia,1
3,Kansas,Houston,1
4,Bellarmine,Queens,1
4,LSU,Kentucky,1
4,Wright St.,Detroit Mercy,1
4,South Dakota St.,Canisius,0
4,Ohio St.,Michigan St.,1
4,Wisconsin,Minnesota,1
4,USC,Air Force,0
4,Iowa St.,Eastern Kentucky,0
4,Sacred Heart,Fairfield,1
4,Radford,Wake Forest,0
4,Northern Arizona,Delaware,0
4,Seattle,Utah Valley,1
4,Maryland Eastern Shore,Northeastern,0
4,Winthrop,USC Upstate,1
4,Penn St.,Indiana,1
4,Kent St.,Ohio,1
4,Boston University,UNC Wilmington,0
4,North Carolina,California,1
4,UNLV,Montana St.,0
4,Davidson,VCU,1
4,Indiana St.,Valparaiso,1
4,William & Mary,Hofstra,1
4,Missouri,Texas,1
4,Colorado,James Madison,0
4,UMKC,Denver,1
4,Seton Hall,Butler,1
4,Rider,Siena,1
4,Florida,UC Irvine,0
4,Albany,Charleston Southern,0
4,Georgia Tech,Southern Utah,0
4,Tennessee,South Carolina,1
4,Tennessee Martin,Oregon St.,0
4,Bucknell,Lafayette,1
4,Little Rock,Maine,0
4,Grand Canyon,Chattanooga,0
4,Louisiana,Troy,1
4,South Carolina St.,Delaware St.,1
4,Louisiana Tech,Fordham,0
4,Cal Poly,UC San Diego,1
4,UC Riverside,Texas St.,0
4,Middle Tennessee,Richmond,0
4,The Citadel,Oakland,0
4,Texas Tech,Utah,1
4,Hawaii,Cal St. Northridge,1
4,Wagner,Purdue,0
5,California,Indiana,0
5,Hawaii,Davidson,0
5,North Alabama,Austin Peay,1
5,Akron,Bowling Green,1
5,St. Bonaventure,Saint Louis,1
5,Niagara,Gonzaga,0
5,William & Mary,North Carolina A&T,1
5,Drake,Illinois St.,1
5,Siena,Quinnipiac,1
5,Delaware,Mississippi Valley St.,0
5,Mississippi,Texas,1
5,Pepperdine,Duke,0
5,Cal St. Northridge,UC Riverside,1
5,SIU Edwardsville,Temple,0
5,Monmouth,Portland,0
5,Southern Miss,Notre Dame,0
5,South Carolina,Dayton,0
5,Southern Indiana,Tennessee St.,1
5,Oregon,Washington,1
5,UCLA,Maryland,1
5,Bethune Cookman,Western Michigan,0
5,George Mason,Syracuse,0
5,Northern Iowa,Montana St.,0
5,Charleston,Oklahoma,0
5,Minnesota,Northwestern,1
5,Baylor,Cincinnati,1
5,South Dakota St.,Nicholls St.,0
5,Southern Illinois,Murray St.,1
5,Seton Hall,Providence,1
5,Gardner Webb,UAB,0
5,Youngstown St.,Cleveland St.,1
5,Connecticut,Creighton,1
5,North Texas,Weber St.,0
5,Alabama,North Dakota,0
5,Georgia Southern,San Francisco,0
5,Northern Arizona,Bradley,0
5,Liberty,UTEP,1
5,Loyola MD,Holy Cross,1
5,Merrimack,Saint Francis,1
5,Western Illinois,Incarnate Word,0
5,Lamar,FIU,0
5,East Texas A&M,North Florida,0
5,Mercer,Furman,1
5,Western Carolina,East Tennessee St.,1
5,Florida,Arkansas,1
