Teams,Coach Name,Conference,,Wins,Losses,Games (Dropping D2 matches),WIN_PERC,Championship Criteria,Upset Twice,Winless March,Points,Points_RANK,SM,FGM,FGA,FGA/G,FG_PERC,FG_PERC_Rank,FGM/G,FGM/G_Rank,FG3sM,FG3sA,FG3_PERC,FG3_PERC_Rank,FG3M/G,FG3M/G_Rank,% of Points from 3,% of Points from 3_RANK,% of shots taken from 3,% of shots taken from 3_RANK,FTM,FTA,FT_PERC,FT_PERC_Rank,FTM/G,FTM/G_RANK,FTA/FGA,FTA/FGA Rank,Off_eff,Off_eff_rank,Offensive efficiency hybrid,Off_eff_hybrid_rank,OReb,OReb Rank,OReb chances,OReb chances Rank,DReb,DReb Rank,Rebounds,Rebounds Rank,Rebound Rate,Rebound Rate Rank,AST,AST Rank,AST/FGM,AST/FGM Rank,TO,TO Rank,STL,STL Rank,PF,PF_Rank,Foul Differential,Foul Differential Rank,Extra Scoring Chances,Extra Scoring Chances Rank,PTS_OFF_TURN,PTS_OFF_TURN_RANK,FST_BREAK,FST_BREAK_RANK,PTS_PAINT,PTS_PAINT_RANK,OPP_PPG,OPP_PPG_RANK,OPP_FGM,OPP_FGA,OPP_FGA/G,OPP_FG_PERC,OPP_FG_PERC_Rank,OPP_FGM/G,OPP_FGM/G_Rank,OPP_FG3sM,OPP_FG3sA,OPP_FG3_PERC,OPP_FG3_PERC_Rank,OPP_FG3M/G,OPP_FG3M/G_Rank,OPP_% of Points from 3,OPP_% of Points from 3 rank,OPP_% of shots taken from 3,OPP_% of shots taken from 3 Rank,Def_efficiency hybrid,Def_eff_hybrid_rank,OPP_OReb,OPP_OReb_RANK,OPP_OReb_rate,OPP_OReb_rate_rank,OPP_DReb,OPP_DReb_RANK,OPP_REBOUNDS,OPP_REBOUNDS_RANK,OPP_AST,OPP_AST_RANK,OPP_AST/FGM,OPP_AST/FGM_Rank,OPP_TO,OPP_TO_RANK,OPP_PF,OPP_PF_RANK,OPP_PTS_OFF_TURN,OPP_PTS_OFF_TURN_RANK,OPP_FST_BREAK,OPP_FST_BREAK_RANK,OPP_PTS_PAINT,OPP_PTS_PAINT_RANK,FGM_TOP7,FGA-Top7,FG3sM-Top7,FG3sA-Top7,FTM-Top7,FTA-Top7,FG_PERC-Top7,FG3_PERC-Top7,FT_PERC-Top7,OReb-Top7,DReb-Top7,Rebounds-Top7,AST-Top7,TO-Top7,STL-Top7,Points per Game-Top7,FGM-Top7-Perc,FGA-Top7-Perc,FG3sM-Top7-Perc,FG3sA-Top7-Perc,FTM-Top7-Perc,FTA-Top7-Perc,FG_PERC_Top7_per,FG3_PERC_Top7_per,FT_PERC_Top7_per,OReb-Top7-Perc,DReb-Top7-Perc,Rebounds-Top7-Perc,AST-Top7-Perc,TO-Top7-Perc,STL-Top7-Perc,Points-Top7-Perc,Start Percentage top 7,SOS_MED,SOS_MIN,SOS_MAX,SOS_STDEV,SOS_SUM,CLUTCH_FGM,CLUTCH_FGA,CLUTCH_FGPERC,CLUTCH_FG_RANK,CLUTCH_3FGM,CLUTCH_3FGA,CLUTCH_3FGPERC,CLUTCH_3_RANK,CLUTCH_FTM,CLUTCH_FTA,CLUTCH_FTPERC,CLUTCH_FT_RANK,CLUTCH_SM,CLUTCH_SM_RANK,CLUTCH_REB,CLUTCH_REB_RANK,OPP_CLTCH_REB,OPP_CLTCH_REB_RANK,CLTCH_OFF_REB,CLTCH_OFF_REB_RANK,OPP_CLTCH_OFF_REB,OPP_CLTCH_OFF_REB_RANK,CLTCH_TURN,CLTCH_TURN_RANK,CLTCH_OPP_TURN,CLTCH_OPP_TURN_RANK,CLTCH_STL,CLTCH_STL_RANK,TOP25_CLUTCH,OVERTIME_GAMES,STEAL_TURNOVER_RATIO,STEAL_TURNOVER_RATIO_RANK,Culture (coach record at school),Culture_rank,Coach Value,Coach Value Rank,Historical Value,Historical Value Rank,Average Ranking,Statistical Strength 
Abilene Christian,Brette Tanner,WAC,,1,1,1,0.5,-5,0,0,56,N/A,-23,19,49,49,0.387755102,N/A,19,N/A,2,14,0.142857143,N/A,2,N/A,0.107142857,N/A,0.285714286,N/A,16,25,0.64,N/A,16,N/A,0.510204082,N/A,84.79709267,N/A,0.677966102,N/A,9,N/A,0.264705882,N/A,22,N/A,31,N/A,0.46969697,N/A,9,N/A,0.473684211,N/A,19,N/A,8,N/A,13,N/A,6,N/A,-5,N/A,14,N/A,13,N/A,32,N/A,79,N/A,31,60,30,0.516666667,N/A,15.5,N/A,6,17,0.352941176,N/A,3,N/A,0.113924051,N/A,0.283333333,N/A,1.743589744,N/A,10,N/A,0.3125,N/A,25,N/A,35,N/A,13,N/A,0.838709677,N/A,15,N/A,19,N/A,24,N/A,11,N/A,48,N/A,15,43,1,12,15,21,0.348837209,0.083333333,0.714285714,6,18,24,9,15,6,46,0.7895,0.8776,0.5,0.8571,0.9375,0.84,0.8996,0.5833,1.1161,0.6667,0.8182,0.7742,1,0.7895,0.75,0.8214,1,-66.48424661,-66.48424661,-66.48424661,–,-66.48424661,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5392,163,25.64769365,219,41.703,57,146.3333333,103
Air Force,Joe Scott,Mountain West,,1,2,3,0.333333333,-5,0,1,61.33333333,319,-6.333333333,58,139,46.33333333,0.417266187,222,19.33333333,332,25,77,0.324675325,190,8.333333333,127,0.407608696,48,0.553956835,13,43,61,0.704918033,181,14.33333333,171,0.438848921,72,105.7957682,196,0.909677419,229,6.333333333,342,0.204301075,332,22.66666667,259,29,326,0.448453608,296,14,136,0.465517241,30,11.66666667,121,4.666666667,301,15.66666667,117,5.666666667,32,-6.333333333,300,13,192,4.666666667,314,20.66666667,331,67.66666667,99,72,168,56,0.428571429,159,24,218,27,67,0.402985075,320,9,310,0.399014778,341,0.398809524,200,3.017647059,223,11,186,0.326732673,240,24.66666667,157,35.66666667,177,11,92,0.458333333,79,10,284,21.33333333,49,10.66666667,93,6,62,28,111,57,132,25,75,43,61,0.431818182,0.333333333,0.704918033,2,6,8,3,5,2,60.66666667,0.9828,0.9496,1,0.974,1,1,1.0349,1.0267,1,0.3158,0.2647,0.2759,0.2143,0.4286,0.4286,0.9891,1,-35.86363083,-36.3017622,20.11543717,32.44674714,-52.04995585,5,15,33.33333333,162,2,9,22.22222222,129,5,8,62.5,145,-4.5,333,2,207,8.5,11,0.5,176,3,320,1,186,1.5,250,0,142,0,0,0,117,0.3889,287,-46.25356661,364,10.946,266,200.3508772,265
Akron,John Groce,MAC,,1,2,2,0.333333333,11,0,1,71.5,205,-12,52,144,72,0.361111111,322,26,159,23,62,0.370967742,83,11.5,23,0.482517483,11,0.430555556,120,16,21,0.761904762,87,8,338,0.145833333,360,95.94739667,290,0.894366197,247,13,75,0.276595745,226,24.5,193,37.5,134,0.431034483,317,18.5,23,0.346153846,187,12,131,9,73,15,83,-4,295,-1.5,208,9.5,299,11,132,24,288,83.5,293,69,143,47.66666667,0.482517483,279,23,192,14,49,0.285714286,100,4.666666667,67,0.167664671,48,0.342657343,75,3.441509434,294,15.5,345,0.3875,319,34,353,49.5,361,18.5,329,0.804347826,293,13,155,11,352,15.5,228,12,237,55,365,40,115,18,45,16,21,0.347826087,0.4,0.761904762,3,9,12,4.5,7.5,3,57,0.7692,0.7986,0.7826,0.7258,1,1,0.9632,1.0783,1,0.2308,0.3673,0.32,0.2432,0.625,0.3333,0.7972,0.9,13.28804139,11.82421876,14.75186401,2.070157809,26.57608277,7,16,43.75,112,2,5,40,70,1,2,50,173,1,79,10,8,8,14,4,10,3,320,5,358,2,261,0,142,0,1,0,117,0.6295,80,64.14907875,69,38.191,68,190.0877193,236
Alabama,Nate Oats,SEC,,3,1,4,0.75,37,1,0,87,39,16,115,239,59.75,0.481171548,87,28.75,87,34,112,0.303571429,230,8.5,115,0.293103448,206,0.468619247,74,84,120,0.7,187,21,26,0.50209205,27,127.9599941,44,1.123404255,54,12.25,113,0.337931034,101,32.25,14,44.5,20,0.559748428,51,17,52,0.313043478,277,11.25,106,4.75,299,14.25,66,5.25,38,-0.5,188,9,307,13,87,39.5,53,71,133,100,259,64.75,0.386100386,78,25,243,28,94,0.29787234,121,7,204,0.295774648,222,0.362934363,113,3.507692308,300,11,186,0.25433526,93,24,133,35,158,10,56,0.4,31,9.5,308,19.5,86,12.5,144,5,40,27.5,109,95,194,29,97,71,95,0.489690722,0.298969072,0.747368421,1.5,4.5,6,2.25,3.75,1.5,72.5,0.8261,0.8117,0.8529,0.8661,0.8452,0.7917,1.0177,0.9848,1.0677,0.1224,0.1395,0.1348,0.1324,0.3333,0.3158,0.8333,0.9,-6.668277144,-19.08957078,101.1368303,56.96171507,68.71070524,10,21,47.61904762,98,1,9,11.11111111,150,12,15,80,70,1.666666667,78,4.333333333,133,4.333333333,129,0.666666667,173,1,189,1.333333333,250,1,183,0.666666667,122,1,0,0.5,72,0.6857,42,130.8197621,13,70.697,10,126.6140351,64
Alabama A&M,Otis Hughley Jr.,SWAC,,0,0,1,0,-13,0,1,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,0,0,0,0,0,0,6,18,24,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,–,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.3971,285,17.24248004,262,15.567,201,249.3333333,340
Alabama St.,Tony Madlock,SWAC,,0,2,2,0,-13,0,1,70,N/A,-13.5,47,121,60.5,0.388429752,N/A,23.5,N/A,10,42,0.238095238,N/A,5,N/A,0.214285714,N/A,0.347107438,N/A,36,46,0.782608696,N/A,18,N/A,0.380165289,N/A,102.3092663,N/A,0.859504132,N/A,13.5,N/A,0.341772152,N/A,20.5,N/A,34,N/A,0.489208633,N/A,10.5,N/A,0.382978723,N/A,13.5,N/A,7.5,N/A,22.5,N/A,-5,N/A,3.5,N/A,10,N/A,13,N/A,28,N/A,83.5,N/A,54,105,52.5,0.514285714,N/A,27,N/A,16,40,0.4,N/A,8,N/A,0.28742515,N/A,0.380952381,N/A,2.194690265,N/A,9.5,N/A,0.316666667,N/A,26,N/A,35.5,N/A,17,N/A,0.62962963,N/A,13,N/A,17.5,N/A,21.5,N/A,10.5,N/A,33,N/A,43,111,8,35,32,40,0.387387387,0.228571429,0.8,3,9,12,4.5,7.5,3,63,0.9149,0.9174,0.8,0.8333,0.8889,0.8696,0.9973,0.96,1.0222,0.2222,0.439,0.3529,0.4286,0.5556,0.4,0.9,1,21.77357383,6.115253211,37.43189445,22.14420938,43.54714766,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.3231,325,3.301204093,327,6.629,335,329,362
Albany,Dwayne Killings,American East,,2,1,2,0.666666667,-13,0,1,73,187,3,55,134,67,0.410447761,232,27.5,120,14,55,0.254545455,304,7,207,0.287671233,214,0.410447761,149,22,30,0.733333333,127,11,266,0.223880597,322,109.2160383,177,1,147,12,114,0.285714286,208,23.5,228,35.5,179,0.489655172,201,12.5,194,0.327272727,235,7,9,8.5,94,20.5,288,-6.5,337,12.5,14,19,57,12.5,101,33,136,70,121,46,97,32.33333333,0.474226804,259,15.33333333,42,8,29,0.275862069,80,2.666666667,15,0.114285714,15,0.298969072,24,3.092783505,236,7,28,0.229508197,48,30,317,37,205,10.5,77,0.684782609,247,14.5,95,14,298,8,28,7,87,37,282,46,109,13,50,17,23,0.422018349,0.26,0.739130435,3,9,12,4.5,7.5,3,61,0.8364,0.8134,0.9286,0.9091,0.7727,0.7667,1.0282,1.0214,1.0079,0.25,0.383,0.338,0.36,1.0714,0.3529,0.8356,0.8,32.17914394,-10.45566205,74.81394994,60.29472087,64.35828789,3,11,27.27272727,195,1,5,20,130,3,4,75,87,-8,356,6,55,6,55,2,55,1,189,2,266,1,183,1,52,0,0,0.5,74,0.3538,301,21.6083494,240,7.529,318,159.9122807,140
Alcorn St.,Landon Bussie,SWAC,,0,4,3,0,-13,0,1,52,356,-43,56,166,55.33333333,0.337349398,342,18.66666667,344,11,42,0.261904762,290,3.666666667,350,0.211538462,327,0.253012048,356,33,49,0.673469388,235,11,266,0.295180723,254,81.88116733,352,0.698863636,349,13.33333333,67,0.336134454,107,17,356,30.33333333,313,0.423255814,327,9.666666667,304,0.482142857,19,16.66666667,325,7.333333333,154,14.33333333,67,-0.333333333,189,-8,326,11,251,6.666666667,263,26.66666667,257,95,356,96,188,47,0.510638298,323,24,218,46,104,0.442307692,346,11.5,357,0.363157895,313,0.553191489,355,4.890410959,361,15,330,0.46875,361,26.33333333,223,41.33333333,305,26,365,1.083333333,345,10.33333333,277,14,298,23,344,17,324,32.66666667,207,42,133,8,31,28,42,0.315789474,0.258064516,0.666666667,2,6,8,3,5,2,40,0.75,0.8012,0.7273,0.7381,0.8485,0.8571,0.9361,0.9853,0.9899,0.15,0.3529,0.2637,0.3103,0.3,0.2727,0.7692,1,-7.449178743,-44.07732674,10.93568837,28.00611956,-40.59081712,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.4545,250,13.55966309,284,15.761,199,283.4347826,353
American,Duane Simpkins,Patriot,,1,3,4,0.25,-16,0,1,60,324,-15.25,85,221,55.25,0.384615385,287,21.25,309,34,104,0.326923077,183,8.5,115,0.425,40,0.470588235,71,36,48,0.75,100,9,316,0.21719457,331,96.44751648,286,0.875536481,264,7.5,313,0.20979021,324,20,327,27.5,352,0.419847328,333,10.75,267,0.423529412,55,10.5,75,4.75,299,17.25,191,-4.75,308,-3.5,259,11,251,6,280,21,327,75.25,192,105,215,53.75,0.488372093,285,26.25,278,21,68,0.308823529,138,5.25,101,0.209302326,106,0.31627907,44,4.23853211,345,9.75,132,0.327731092,243,28.25,284,38,237,11,92,0.419047619,46,9.25,318,12.5,335,14.25,191,10.5,199,39,303,78,197,31,93,30,40,0.395939086,0.333333333,0.75,1.5,4.5,6,2.25,3.75,1.5,54.25,0.9176,0.8914,0.9118,0.8942,0.8333,0.8333,1.0294,1.0196,1,0.2,0.225,0.2182,0.2093,0.3571,0.3158,0.9042,1,-8.54569542,-69.11609674,36.80778636,43.67193302,-49.39970122,3,7,42.85714286,114,1,2,50,35,3,4,75,87,-3,302,2,207,5,97,0,183,0,1,1,186,1,183,0,142,0,0,0,117,0.4722,235,14.80535337,278,11.983,245,207.9298246,282
Appalachian St.,Dustin Kerns,Sun Belt,,1,2,2,0.333333333,-2,0,1,59.5,331,-22.5,42,109,54.5,0.385321101,285,21,310,16,56,0.285714286,254,8,138,0.403361345,54,0.513761468,23,19,34,0.558823529,342,9.5,306,0.311926606,227,89.23215357,329,0.8,314,10.5,187,0.272727273,231,24.5,193,35,194,0.472972973,246,11,249,0.428571429,45,18.5,347,5,286,18.5,239,-1.5,229,-9,331,5.5,349,4.5,319,21,327,82,268,60,129,43,0.465116279,232,20,121,19,53,0.358490566,248,6.333333333,162,0.231707317,135,0.410852713,225,2.752475248,164,11,186,0.309859155,208,28,273,39,258,13,164,0.65,231,10,284,17,168,13,154,11,216,38,290,36,93,13,48,15,28,0.387096774,0.270833333,0.535714286,3,9,12,4.5,7.5,3,50,0.8571,0.8532,0.8125,0.8571,0.7895,0.8235,1.0046,0.9479,0.9586,0.2857,0.3673,0.3429,0.4091,0.4054,0.6,0.8403,1,-42.4311858,-44.55966792,-40.30270368,3.010128283,-84.8623716,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5875,124,39.27447888,159,28.323,108,222.9130435,305
