Label,X,Y
A1,-21.22260093857124,142.77743865319331
A2,321.11098975416763,142.77743865319331
AF3,105.83537,62.775867
AF4,194.73576,62.775867
AF7,74.34981,55.22394
AF8,225.29523,54.384842
AFZ,149.57531339744,61.02683256209372
C1,119.812768443878,150.8850640889135
C2,177.520085443878,150.06067408891352
C3,89.97979683691028,149.6547116816181
C4,209.7769897360076,149.7774383331933
C5,58.395694443878,149.23628408891352
C6,239.349355443878,150.4728690889135
CP1,123.522505443878,179.7387220889135
CP2,178.344485443878,179.7387220889135
CP3,96.729841443878,180.5631130889135
CP4,205.137155443878,180.5631130889135
CP5,66.227402443878,181.79969908891357
CP6,233.990815443878,181.79969908891357
CPZ,149.575315443878,179.3265280889135
Cz,149.5753123360076,150.0274381431933
F1,123.43023,90.46624
F10,275.62252939744,66.79756456209371
F2,174.36273,92.14445
F3,99.35306,87.94894
F4,200.29202,87.94894
F5,76.53227999744,86.58293056209372
F6,223.27373939744,86.17073556209371
F7,54.902863,79.557915
F8,246.59431,80.39701
F9,26.24447439744,66.38536956209371
FC1,123.11033030302724,119.97073263209371
FC2,176.6956973030272,119.97073263209371
FC3,94.66886630302722,117.49756263209372
FC4,205.54935730302725,117.49756263209372
FC5,65.40301230302723,115.43658763209372
FC6,236.05179730302723,115.43658763209372
FCZ,149.57531730302722,120.38292863209372
FT10,292.11032730302725,108.84146562959904
FT7,35.455894,110.6047
FT8,262.3371,112.28291
FT9,7.28349930302722,108.84146563209372
Fp1,110.4656,34.246384
Fp2,190.10553,35.085487
FpZ,149.57531191100762,32.58536909948172
Fz,147.50742,92.14445
INION,136.51399,309.9653042290257
IZ,150.31520530509948,290.87207266142053
NASION,132.36354,-4.886811770974285
NZ,149.90299530509947,10.99157266142052
O1,112.03099924444,263.7854402711133
O2,187.84699919228,263.47744395066564
OZ,149.49081674702722,270.0102240613979
P1,125.9956957470272,210.6541220613979
P10,277.2713067470272,228.79070806139796
P2,174.63469674702722,210.6541220613979
P3,101.15200022048,212.2222849805857
P4,199.1519903110076,212.22228742858573
P5,75.82222774702723,215.0739310613979
P6,223.68593674702723,215.0739310613979
P7,53.050774,220.52711
P8,247.5213976957524,219.4274480286657
P9,22.534718747027217,228.79070806139796
PO3,109.50788974702722,238.68338906139792
PO4,187.8249667470272,238.68338906139792
PO7,79.00545074702723,246.9272930613979
PO8,222.0371567470272,246.9272930613979
POZ,149.57531674702722,237.85900106139792
Pz,149.5753107288076,210.5047058061457
T10,296.232315443878,149.23628408891352
T7,30.825666,150.04251
T8,267.89337,150.04251
T9,5.6347184438780005,149.64847908891352
TP10,292.89658,191.15852
TP7,34.52985,183.60661
TP8,264.18918,183.60661
TP9,3.9703414,191.15852
